"Geography","Percent..COMMUTING.TO.WORK...Car..truck..or.van....drove.alone","Percent..COMMUTING.TO.WORK...Car..truck..or.van....carpooled","Percent..COMMUTING.TO.WORK...Public.transportation..excluding.taxicab.","Percent..COMMUTING.TO.WORK...Walked","Percent..COMMUTING.TO.WORK...Other.means","Percent..COMMUTING.TO.WORK...Worked.at.home","Estimate..COMMUTING.TO.WORK...Mean.travel.time.to.work..minutes."
"Iowa City city, Iowa","54.8","10.3","8.8","17.6","5.2","3.3",17.2
"Sioux City city, Iowa","86.0","6.7","0.9","0.6","2.7","3.1",17.1
"Waterloo city, Iowa","83.1","10.8","0.9","2.3","1.9","1.1",13.7
"Kansas City city, Kansas","82.1","12.2","2.2","1.2","1.1","1.2",20.8
"Lawrence city, Kansas","76.2","10.5","2.5","5.1","1.1","4.5",19.2
"Olathe city, Kansas","84.0","7.6","0.3","1.1","1.0","6.1",21.6
"Overland Park city, Kansas","84.0","9.0","0.4","0.8","0.8","5.1",20.4
"Topeka city, Kansas","80.3","13.2","1.3","1.3","0.8","3.1",15.1
"Wichita city, Kansas","84.0","9.1","0.8","1.3","1.6","3.2",17.8
"Lexington-Fayette urban county, Kentucky","80.5","9.5","1.0","4.2","1.7","3.1",19.1
"Louisville/Jefferson County metro government (balance), Kentucky","81.0","8.8","3.2","2.3","1.3","3.4",22.4
"Baton Rouge city, Louisiana","81.0","10.1","2.5","3.2","0.9","2.4",21.3
"Kenner city, Louisiana","77.5","15.1","2.0","3.2","0.2","2.0",27.3
"Lafayette city, Louisiana","77.9","13.4","0.4","2.8","2.6","2.9",19.2
"Lake Charles city, Louisiana","81.1","11.8","0.6","3.1","1.7","1.7",18.9
"Metairie CDP, Louisiana","84.7","7.1","1.2","1.4","2.9","2.7",20.8
"New Orleans city, Louisiana","71.1","10.0","6.6","4.7","4.1","3.5",22.8
"Shreveport city, Louisiana","84.5","6.8","1.7","1.3","2.8","2.8",18.8
"Portland city, Maine","65.7","7.7","3.0","14.7","2.8","6.1",18
"Baltimore city, Maryland","58.9","9.0","19.2","6.8","2.5","3.4",30.6
"Columbia CDP, Maryland","80.3","7.9","3.9","1.4","0.7","5.7",28.7
"Ellicott City CDP, Maryland","83.2","6.9","1.9","0.7","0.3","6.9",29.7
"Frederick city, Maryland","71.3","11.3","3.2","5.1","1.5","7.7",33.9
"Germantown CDP, Maryland","72.2","12.1","11.5","1.2","0.4","2.6",36.3
"Glen Burnie CDP, Maryland","83.6","10.6","1.8","1.1","0.9","1.9",28.1
"Silver Spring CDP, Maryland","52.0","9.0","30.1","4.0","1.6","3.3",33
"Waldorf CDP, Maryland","79.1","10.3","7.5","1.0","0.3","1.8",41.9
"Boston city, Massachusetts","36.6","7.2","34.6","15.5","2.8","3.3",29.8
"Brockton city, Massachusetts","80.9","9.0","4.3","3.3","1.7","0.8",28.3
"Cambridge city, Massachusetts","31.0","3.5","24.5","24.5","10.0","6.5",24.4
"Fall River city, Massachusetts","81.2","11.5","2.3","3.9","0.1","1.1",24.1
"Framingham CDP, Massachusetts","77.7","8.9","4.2","4.8","1.5","2.8",27.1
"Lawrence city, Massachusetts","64.1","18.7","3.4","4.0","7.4","2.4",21.8
"Lowell city, Massachusetts","74.4","13.5","3.6","4.4","1.4","2.8",24.9
"Lynn city, Massachusetts","64.6","7.7","12.1","6.1","5.8","3.6",26.8
"New Bedford city, Massachusetts","73.9","14.9","2.4","5.8","1.2","1.8",23.3
"Newton city, Massachusetts","62.9","9.0","12.9","5.2","2.0","8.1",26.4
"Quincy city, Massachusetts","63.2","9.9","20.8","2.6","0.9","2.6",33.4
"Somerville city, Massachusetts","41.0","8.9","30.4","12.5","3.9","3.3",27.8
"Springfield city, Massachusetts","74.2","10.5","6.3","3.0","1.0","4.9",22.4
"Worcester city, Massachusetts","73.4","10.5","4.3","7.2","1.2","3.4",23.6
"Ann Arbor city, Michigan","55.9","7.3","10.0","15.5","5.1","6.1",19.3
"Dearborn city, Michigan","85.8","9.5","0.2","2.0","0.9","1.7",20.1
"Detroit city, Michigan","68.1","13.4","9.4","3.7","2.2","3.1",26.1
"Farmington Hills city, Michigan","80.3","10.7","0.2","1.9","1.9","5.0",24.3
"Flint city, Michigan","78.9","8.4","4.0","2.8","1.5","4.3",24.1
"Grand Rapids city, Michigan","74.4","12.2","3.0","3.9","1.7","4.9",18.9
"Kalamazoo city, Michigan","75.3","7.3","3.5","8.5","1.3","4.1",18.3
"Lansing city, Michigan","77.9","11.1","4.7","2.0","1.4","2.9",18.5
"Livonia city, Michigan","88.9","5.9","0.0","0.7","0.7","3.8",23.4
"Rochester Hills city, Michigan","86.4","5.4","0.1","0.9","1.4","5.8",26
"Southfield city, Michigan","83.8","10.3","1.7","1.6","0.6","2.0",24.4
"Sterling Heights city, Michigan","88.5","8.4","0.4","0.4","0.5","1.9",25.6
"Troy city, Michigan","88.4","7.5","0.2","0.9","0.8","2.3",23.5
"Warren city, Michigan","86.2","10.1","0.4","0.4","1.4","1.6",23.3
"Westland city, Michigan","87.4","7.0","0.8","1.6","1.1","2.0",25
"Wyoming city, Michigan","87.2","7.4","0.9","0.4","1.3","2.8",20.2
"Bloomington city, Minnesota","76.9","9.7","4.0","1.8","1.3","6.4",21.6
"Brooklyn Park city, Minnesota","80.3","9.7","3.9","0.5","2.6","3.0",25.1
"Duluth city, Minnesota","75.3","10.3","4.1","4.6","1.3","4.4",16.6
"Minneapolis city, Minnesota","62.5","7.9","12.1","6.9","5.2","5.3",22.7
"Plymouth city, Minnesota","80.9","9.4","2.9","0.8","1.1","5.0",22.2
"Rochester city, Minnesota","74.2","11.0","5.5","3.9","2.2","3.3",16.1
"St. Cloud city, Minnesota","79.6","8.3","2.8","2.7","2.3","4.4",19.7
"St. Paul city, Minnesota","71.7","10.1","7.7","4.0","2.3","4.2",22.6
"Gulfport city, Mississippi","82.1","10.1","0.8","4.1","0.5","2.4",21.2
"Jackson city, Mississippi","85.5","9.6","0.9","1.1","1.0","2.0",20.6
"Columbia city, Missouri","78.3","9.9","1.2","6.0","1.8","2.8",16.1
"Independence city, Missouri","84.9","10.4","0.3","0.6","1.1","2.7",22
"Kansas City city, Missouri","79.9","8.5","3.2","2.1","2.0","4.3",21.2
"Lee's Summit city, Missouri","88.6","4.6","0.4","0.6","0.9","4.8",24.6
"O'Fallon city, Missouri","87.5","5.2","0.0","1.2","1.4","4.7",27.6
"St. Charles city, Missouri","87.9","5.5","0.3","2.5","1.0","2.8",20
"St. Joseph city, Missouri","80.8","13.3","0.6","2.8","0.8","1.7",16.2
"St. Louis city, Missouri","72.3","9.1","8.9","4.2","2.4","3.0",23
"Springfield city, Missouri","82.0","10.6","0.7","2.9","1.9","1.9",16.9
"Billings city, Montana","79.0","9.7","1.1","5.0","2.2","3.0",18.6
"Missoula city, Montana","66.4","13.6","2.1","4.7","7.4","5.8",15.2
"Lincoln city, Nebraska","80.5","9.9","0.9","2.1","3.0","3.6",17.9
"Omaha city, Nebraska","80.4","10.9","1.4","2.7","1.1","3.5",18.2
"Enterprise CDP, Nevada","83.6","10.2","0.8","0.5","2.3","2.6",21.1
"Henderson city, Nevada","81.4","9.5","1.2","1.7","1.7","4.6",22.9
"Las Vegas city, Nevada","79.4","10.1","3.7","2.2","1.6","3.0",25.3
"North Las Vegas city, Nevada","80.4","11.9","3.7","1.2","1.3","1.6",25.8
"Paradise CDP, Nevada","74.0","9.8","6.6","4.3","3.0","2.3",21.7
"Reno city, Nevada","75.2","10.5","4.9","3.0","3.4","2.9",20.4
"Sparks city, Nevada","82.4","11.0","0.8","0.9","1.7","3.1",22
"Spring Valley CDP, Nevada","77.3","12.3","5.1","1.1","1.3","2.9",23.5
"Sunrise Manor CDP, Nevada","73.6","14.4","5.7","2.4","2.2","1.6",26.5
"Manchester city, New Hampshire","81.1","9.3","1.3","3.5","0.5","4.3",21.7
"Nashua city, New Hampshire","80.2","12.1","1.5","3.2","0.8","2.2",24.7
"Camden city, New Jersey","53.4","20.6","14.9","6.7","2.2","2.2",25.2
"Clifton city, New Jersey","75.0","11.2","10.4","1.5","0.4","1.4",28.5
"East Orange city, New Jersey","57.1","11.0","20.7","7.6","2.5","1.0",33.5
"Elizabeth city, New Jersey","55.7","9.8","9.7","6.8","12.7","5.3",26.1
"Jersey City city, New Jersey","34.8","7.5","45.1","7.8","1.3","3.5",35.4
"Newark city, New Jersey","47.7","14.2","27.8","7.1","1.6","1.6",32.5
"Passaic city, New Jersey","52.8","25.5","11.6","5.8","2.7","1.5",23.5
"Paterson city, New Jersey","61.6","19.4","10.6","5.1","1.7","1.6",22.3
"Toms River CDP, New Jersey","85.5","6.9","1.6","0.5","2.1","3.4",29.2
"Trenton city, New Jersey","65.8","15.6","11.3","3.9","3.0","0.3",22.6
"Union City city, New Jersey","32.2","6.0","41.3","16.2","2.7","1.5",31.4
"Albuquerque city, New Mexico","79.5","10.5","2.0","2.1","2.1","3.9",20.8
"Las Cruces city, New Mexico","82.0","9.6","0.5","3.8","1.5","2.6",18.7
"Rio Rancho city, New Mexico","85.5","7.7","1.5","0.4","1.1","3.7",31.1
"Santa Fe city, New Mexico","74.1","13.2","0.2","3.4","2.8","6.2",17.9
"Albany city, New York","65.1","8.8","12.5","10.5","1.1","2.0",18.5
"Buffalo city, New York","67.3","9.8","11.6","6.4","2.8","2.0",20.9
"Cheektowaga CDP, New York","84.5","9.9","0.6","1.9","1.9","1.1",18.5
"Mount Vernon city, New York","53.4","6.5","28.8","7.6","1.4","2.3",34
"New Rochelle city, New York","59.2","7.0","17.9","8.0","1.4","6.5",29.9
"New York city, New York","22.6","4.7","55.9","10.1","2.7","4.1",39.3
"Rochester city, New York","71.8","10.9","7.5","5.8","2.0","2.0",19.8
"Schenectady city, New York","65.8","9.3","10.1","8.7","3.9","2.1",24.6
"Syracuse city, New York","63.0","10.4","9.4","11.0","3.0","3.2",17.1
"Yonkers city, New York","58.0","7.5","25.5","6.0","0.5","2.5",31.8
"Asheville city, North Carolina","76.8","9.1","1.5","4.6","1.5","6.4",19.6
"Cary town, North Carolina","78.1","8.1","0.9","1.1","1.6","10.2",22.1
"Charlotte city, North Carolina","74.9","10.4","4.2","2.5","1.7","6.2",24.4
"Concord city, North Carolina","81.3","10.9","0.6","0.0","1.2","6.0",26.4
"Durham city, North Carolina","74.8","11.6","4.2","2.9","2.4","4.2",22.3
"Fayetteville city, North Carolina","80.3","10.2","0.8","5.4","1.5","1.8",20
"Gastonia city, North Carolina","83.8","10.1","0.5","1.4","1.2","3.0",24.3
"Greensboro city, North Carolina","79.5","10.8","2.2","3.0","1.0","3.4",19.2
"Greenville city, North Carolina","80.1","8.8","2.0","4.9","0.8","3.3",16.1
"High Point city, North Carolina","82.6","9.3","1.8","1.5","0.6","4.2",22.2
"Jacksonville city, North Carolina","59.5","14.8","0.0","11.7","1.8","12.3",21.1
"Raleigh city, North Carolina","79.2","10.2","1.6","1.7","2.0","5.3",20.8
"Wilmington city, North Carolina","77.1","9.1","0.5","4.0","3.7","5.7",17.7
"Winston-Salem city, North Carolina","82.5","7.8","2.3","1.9","2.0","3.4",19.9
"Fargo city, North Dakota","82.8","8.6","1.1","4.0","0.5","3.0",15.5
"Akron city, Ohio","83.4","8.6","3.6","2.4","0.5","1.5",20.4
"Canton city, Ohio","80.1","12.8","2.6","2.3","0.6","1.7",20.5
"Cincinnati city, Ohio","71.6","10.7","6.7","5.5","1.6","3.9",22.6
"Cleveland city, Ohio","69.0","10.4","10.3","5.6","2.2","2.6",23.9
"Columbus city, Ohio","81.2","8.6","3.0","2.6","1.6","2.9",21.6
"Dayton city, Ohio","70.4","10.9","6.1","7.4","2.4","2.8",20.9
"Lorain city, Ohio","85.3","11.1","0.7","0.9","0.8","1.2",22.6
"Parma city, Ohio","84.1","8.1","2.8","0.9","0.6","3.5",24.4
"Toledo city, Ohio","82.6","8.6","2.4","3.1","1.3","2.0",19.4
"Youngstown city, Ohio","74.1","12.0","4.6","3.9","3.5","2.0",22.7
"Broken Arrow city, Oklahoma","83.4","10.9","0.3","0.5","1.0","3.9",20.3
"Edmond city, Oklahoma","85.4","7.0","0.1","1.8","0.9","4.8",20
"Lawton city, Oklahoma","72.2","11.5","1.0","9.1","2.9","3.3",15.3
"Norman city, Oklahoma","78.3","8.7","1.4","3.1","3.6","5.0",22.3
"Oklahoma City city, Oklahoma","82.2","11.2","0.3","1.7","1.2","3.3",20.3
"Tulsa city, Oklahoma","81.9","10.8","0.8","1.8","1.6","3.1",18
"Beaverton city, Oregon","71.0","9.8","6.2","5.5","2.6","4.8",24.9
"Bend city, Oregon","75.6","9.5","0.7","1.9","3.9","8.4",17.3
"Eugene city, Oregon","64.6","7.9","3.7","8.0","9.0","6.8",17
"Gresham city, Oregon","71.1","12.7","8.3","2.3","2.1","3.5",27.2
"Hillsboro city, Oregon","71.8","12.3","7.0","3.6","1.4","3.8",25.5
"Medford city, Oregon","80.2","9.2","1.6","3.5","2.6","2.9",15.5
"Portland city, Oregon","58.5","8.4","11.1","6.9","7.2","7.9",24.2
"Salem city, Oregon","76.0","10.6","1.9","5.0","3.0","3.4",21.1
"Allentown city, Pennsylvania","67.1","16.3","5.8","5.6","1.6","3.7",23.1
"Bethlehem city, Pennsylvania","76.9","11.4","2.2","4.8","0.7","4.0",23
"Erie city, Pennsylvania","78.5","9.9","3.3","4.4","1.8","2.2",15.8
"Philadelphia city, Pennsylvania","50.2","9.1","26.0","8.2","3.4","3.2",32
"Pittsburgh city, Pennsylvania","56.7","9.8","17.2","10.6","2.6","3.0",23.2
"Reading city, Pennsylvania","53.2","22.4","8.4","8.4","2.8","4.8",28
"Scranton city, Pennsylvania","69.6","14.9","3.7","9.1","0.6","2.1",18.6
"Cranston city, Rhode Island","83.8","7.9","2.3","2.1","0.9","3.1",22
"Pawtucket city, Rhode Island","77.6","12.7","3.7","2.8","2.3","0.9",25.5
"Providence city, Rhode Island","55.4","14.2","9.2","10.8","5.3","5.0",22.7
"Warwick city, Rhode Island","87.3","5.9","2.0","2.0","0.2","2.6",23.9
"Charleston city, South Carolina","77.1","5.6","2.6","6.2","4.7","3.8",21
"Columbia city, South Carolina","65.4","6.3","2.2","20.7","1.4","4.0",15.2
"Mount Pleasant town, South Carolina","84.8","6.3","0.3","2.1","0.8","5.7",22.8
"North Charleston city, South Carolina","77.9","13.8","2.0","0.9","1.9","3.5",21.2
"Rock Hill city, South Carolina","83.3","12.5","0.0","1.9","1.4","0.9",22.7
"Rapid City city, South Dakota","79.7","10.7","1.0","3.1","2.0","3.6",15
"Sioux Falls city, South Dakota","85.2","7.1","1.1","2.2","1.6","2.8",16.2
"Chattanooga city, Tennessee","78.6","9.4","1.8","3.5","3.1","3.5",19
"Clarksville city, Tennessee","85.0","8.7","0.7","3.1","0.9","1.7",22
"Franklin city, Tennessee","80.4","8.7","1.2","0.9","1.2","7.6",25.2
"Jackson city, Tennessee","88.0","5.0","0.5","1.7","2.0","2.7",16.7
"Knoxville city, Tennessee","83.6","7.2","2.1","2.6","0.6","4.0",20.7
"Memphis city, Tennessee","78.9","13.4","2.4","2.0","1.4","1.8",21.6
"Murfreesboro city, Tennessee","88.3","6.6","0.6","1.2","1.2","2.1",27.1
"Nashville-Davidson metropolitan government (balance), Tennessee","80.1","10.5","2.1","1.7","1.3","4.4",23
"Abilene city, Texas","81.6","10.3","1.6","3.4","0.5","2.6",16.2
"Allen city, Texas","79.8","6.4","3.0","0.3","1.0","9.5",27.8
"Amarillo city, Texas","78.5","15.0","1.2","1.4","1.3","2.7",18.2
"Arlington city, Texas","79.5","12.3","0.1","1.9","1.5","4.7",25.7
"Atascocita CDP, Texas","87.4","6.5","0.9","1.1","0.7","3.2",31.9
"Austin city, Texas","73.5","10.3","4.2","2.8","2.9","6.3",23.2
"Baytown city, Texas","78.8","13.3","1.2","1.1","2.3","3.3",22.7
"Beaumont city, Texas","84.3","8.3","1.3","2.8","1.7","1.6",17.9
"Brownsville city, Texas","80.8","11.7","1.3","1.9","1.6","2.6",19.1
"Bryan city, Texas","70.9","19.4","1.6","2.3","3.6","2.2",17.3
"Carrollton city, Texas","82.7","9.2","1.8","0.5","1.1","4.7",24.5
"College Station city, Texas","75.5","9.0","3.3","5.2","4.8","2.3",17.1
"Corpus Christi city, Texas","79.7","12.8","2.7","1.2","1.9","1.7",20.6
"Dallas city, Texas","76.0","11.3","4.3","2.0","2.0","4.3",25.8
"Denton city, Texas","69.3","16.1","2.9","3.6","4.1","4.0",24.8
"Edinburg city, Texas","77.9","15.2","0.0","1.2","3.8","1.9",20.1
"El Paso city, Texas","80.0","11.0","2.0","2.1","2.3","2.5",22.7
"Flower Mound town, Texas","81.4","5.2","0.3","1.3","0.9","10.9",25.9
"Fort Worth city, Texas","82.4","10.7","1.1","1.1","1.6","3.1",26.3
"Frisco city, Texas","79.2","7.7","0.3","0.3","1.0","11.5",27.6
"Garland city, Texas","77.8","15.6","1.7","0.7","0.7","3.4",27.6
"Grand Prairie city, Texas","82.2","8.7","0.1","1.0","5.6","2.3",26.3
"Harlingen city, Texas","N","N","N","N","N","N",17.3
"Houston city, Texas","75.5","12.3","4.4","2.2","2.3","3.2",26.2
"Irving city, Texas","80.4","11.5","1.9","1.4","1.8","3.1",23.7
"Killeen city, Texas","86.9","8.4","0.4","0.7","2.5","1.0",22.1
"Laredo city, Texas","79.7","14.8","0.9","1.1","0.7","2.8",21.3
"League City city, Texas","83.1","8.0","2.2","0.3","0.0","6.4",28.8
"Lewisville city, Texas","79.9","12.7","1.3","1.0","0.8","4.3",24.2
"Longview city, Texas","85.9","10.3","0.5","0.6","1.1","1.7",17.6
"Lubbock city, Texas","82.2","10.0","0.5","2.4","1.7","3.2",15.5
"McAllen city, Texas","75.1","8.7","1.3","1.1","9.5","4.3",20.2
"McKinney city, Texas","81.1","6.9","0.7","1.2","2.1","8.1",29.2
"Mesquite city, Texas","78.3","15.6","0.7","0.6","2.7","2.1",28.5
"Midland city, Texas","81.8","13.9","0.2","2.1","0.5","1.4",18.2
"Mission city, Texas","81.9","9.3","0.0","1.0","6.3","1.5",22
"Missouri City city, Texas","83.5","8.7","4.4","0.8","0.8","2.0",29.5
"North Richland Hills city, Texas","85.9","8.3","1.4","0.7","1.6","2.1",28.3
"Odessa city, Texas","88.0","9.8","0.1","0.9","0.0","1.2",17.6
"Pasadena city, Texas","80.5","13.0","1.4","0.8","2.3","2.1",25.7
"Pearland city, Texas","83.4","9.7","0.7","0.7","0.3","5.2",28.7
"Pharr city, Texas","N","N","N","N","N","N",24.2
"Plano city, Texas","83.8","5.8","0.9","0.7","1.3","7.5",26
"Richardson city, Texas","78.4","11.2","1.3","1.7","1.1","6.3",24.4
"Round Rock city, Texas","82.6","10.0","0.1","0.4","1.2","5.8",25.7
"San Angelo city, Texas","84.1","6.4","0.3","5.2","1.2","2.8",14.9
"San Antonio city, Texas","79.4","11.2","3.4","1.6","1.1","3.4",23.3
"Sugar Land city, Texas","79.7","10.1","1.7","0.7","0.3","7.5",29.5
"Temple city, Texas","84.6","11.2","0.2","0.8","1.1","2.1",14.8
"The Woodlands CDP, Texas","82.6","7.3","3.1","0.7","0.5","5.8",30.6
"Tyler city, Texas","80.2","10.1","0.4","1.4","3.2","4.7",17.8
"Waco city, Texas","82.6","10.8","1.4","2.9","0.5","1.9",17.1
"Wichita Falls city, Texas","80.1","5.9","0.3","6.9","0.8","6.0",14
"Layton city, Utah","83.6","9.6","2.0","1.4","1.3","2.1",22.6
"Millcreek CDP, Utah","74.0","13.0","4.0","2.1","1.2","5.7",20.7
"Ogden city, Utah","72.5","14.5","2.8","3.9","3.5","2.8",20.4
"Orem city, Utah","75.9","12.9","1.4","2.6","2.6","4.7",17.2
"Provo city, Utah","62.1","13.4","1.8","12.2","5.9","4.6",18
"St. George city, Utah","82.3","9.2","0.7","2.4","2.9","2.5",16.2
"Salt Lake City city, Utah","65.0","13.4","8.1","4.6","5.1","3.7",19.9
"Sandy city, Utah","77.3","7.9","2.8","1.9","2.6","7.5",24.1
"West Jordan city, Utah","80.2","11.9","1.9","1.7","1.0","3.2",24.5
"West Valley City city, Utah","75.6","16.4","3.1","1.5","0.9","2.5",21.6
"Alexandria city, Virginia","58.4","8.4","22.7","3.6","2.3","4.5",29.8
"Arlington CDP, Virginia","55.2","6.3","25.2","5.4","2.6","5.3",27.2
"Centreville CDP, Virginia","77.2","10.1","4.2","1.0","1.3","6.1",33.1
"Chesapeake city, Virginia","86.6","6.8","1.1","1.8","0.8","2.8",25.3
"Dale City CDP, Virginia","76.7","13.6","6.6","0.6","0.6","1.9",40.5
"Hampton city, Virginia","77.1","9.5","2.7","4.8","1.9","4.1",22.5
"Lynchburg city, Virginia","79.9","12.0","0.9","4.6","0.5","2.2",16.9
"Newport News city, Virginia","77.2","11.1","3.7","4.0","1.2","2.8",22.8
"Norfolk city, Virginia","73.2","9.8","4.5","3.1","1.5","7.9",22.7
"Portsmouth city, Virginia","80.5","6.6","3.0","5.1","1.9","2.9",24.9
"Richmond city, Virginia","71.9","10.0","5.2","4.4","4.0","4.5",21.2
"Roanoke city, Virginia","81.8","9.7","1.9","2.3","1.2","3.1",17.5
"Suffolk city, Virginia","86.1","8.1","1.0","1.6","1.1","2.0",28.2
"Virginia Beach city, Virginia","81.8","9.1","0.6","1.9","1.7","4.8",22.6
"Auburn city, Washington","77.9","9.5","5.0","2.8","1.4","3.4",30
"Bellevue city, Washington","66.0","8.9","12.6","4.5","0.8","7.1",22.6
"Bellingham city, Washington","68.6","6.2","6.2","9.7","2.6","6.6",17.5
"Everett city, Washington","68.2","13.3","6.1","5.1","1.9","5.4",25.8
"Federal Way city, Washington","77.3","10.5","7.1","0.8","1.3","2.9",31.3
"Kennewick city, Washington","80.4","9.6","1.7","1.9","1.4","5.0",20.1
"Kent city, Washington","73.0","13.4","6.3","1.3","1.3","4.7",31.3
"Pasco city, Washington","78.6","15.1","0.4","0.8","2.0","3.0",18
"Renton city, Washington","68.2","17.4","6.8","2.3","0.5","4.8",30.7
"Seattle city, Washington","49.2","8.5","19.7","9.9","5.7","7.0",25.9
"Spokane city, Washington","75.6","10.7","3.8","3.9","1.6","4.4",19.6
"Spokane Valley city, Washington","79.0","12.3","1.6","0.8","1.4","4.8",18.7
"Tacoma city, Washington","75.2","10.4","4.7","3.7","2.2","3.8",26.1
"Vancouver city, Washington","75.3","12.5","4.0","2.3","1.4","4.5",22.1
"Yakima city, Washington","77.9","14.5","1.1","1.8","1.3","3.4",17.1
"Appleton city, Wisconsin","83.4","7.0","0.4","3.3","2.1","3.8",18.1
"Eau Claire city, Wisconsin","74.6","9.8","2.1","5.8","3.3","4.4",16.1
"Green Bay city, Wisconsin","79.3","10.3","1.3","3.0","4.4","1.8",18.7
"Kenosha city, Wisconsin","84.8","8.2","1.2","2.2","1.7","1.9",23.3
"Madison city, Wisconsin","62.1","9.6","8.6","9.2","6.9","3.7",19
"Milwaukee city, Wisconsin","71.3","10.8","8.6","5.5","1.5","2.4",22.2
"Oshkosh city, Wisconsin","82.9","8.1","2.1","4.4","0.5","2.1",18.2
"Racine city, Wisconsin","78.5","10.9","3.1","2.1","3.1","2.3",20.6
"Waukesha city, Wisconsin","83.1","8.2","0.8","3.9","1.2","2.7",22
"Bayamón zona urbana, Puerto Rico","73.4","14.6","4.9","2.4","2.6","2.1",36.5
"Caguas zona urbana, Puerto Rico","80.0","10.7","1.6","2.5","3.7","1.4",32.5
"Carolina zona urbana, Puerto Rico","75.1","16.6","4.3","2.4","0.5","1.0",33
"Guaynabo zona urbana, Puerto Rico","80.3","9.5","2.5","4.4","0.8","2.5",25.4
"Mayagüez zona urbana, Puerto Rico","78.3","13.2","1.7","3.5","0.0","3.3",19
"Ponce zona urbana, Puerto Rico","84.1","7.4","0.8","3.2","2.1","2.4",21.8
"San Juan zona urbana, Puerto Rico","68.8","10.7","9.1","5.0","2.6","3.7",25.5
